Year,Month,Supply Number,Total KWh,Energy Cost,Payable Amount,Bill Type,Label,Total Rainfall (mm),Mean Temperature (°C),Total Sunny Days
2014,4,21747152,0,114.93,140.8,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21790694,0,123.96,140.08,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21826495,0,91.86,103.8,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21691108,1000,194.4,259.71,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21692465,2975,451.59,628.78,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21744101,3430,536.45,742.87,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21747749,3102,490.27,677.64,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21821752,3316,496.59,693.18,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21574054,0,9.04,10.22,Estimated,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21917226,0,110.21,130.06,Estimated,Parks & Cultural Sites,48.500000000000014,14.196666666666664,12
2014,4,21571284,0,911.77,1030.3,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21574042,0,240.99,272.32,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21730886,0,209.15,236.34,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21826148,0,96.56,109.11,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21906515,0,144.17,162.91,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21923295,677,114.01,80.38,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21586062,4000,599.32,836.48,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21699195,4060,574.8,811.02,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21730449,821,140.1,191.09,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21574046,2286,345.2,481.11,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21581403,1869,278.44,443.51,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21810010,0,202.13,228.41,Estimated,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21798583,2640,418.35,558.39,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21804616,9360,1232.3,1682.04,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21908054,7400,1070.42,1438.96,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,92400110,2000,392.93,936.45,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,92404221,3040,466.25,635.38,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,92409020,6760,942.49,1274.39,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,82400215,15026,1979.04,4944.0,Final,Municipal Services,48.500000000000014,14.196666666666664,12
2014,4,20170967,1000,209.12,275.67,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,20213044,2640,439.32,597.05,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,20172054,1924,304.81,420.43,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21915458,2390,364.24,506.78,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21904842,8240,1119.48,1520.08,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,8,21747152,0,62.07,80.71,Estimated,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21790694,0,74.13,83.77,Estimated,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21826495,0,56.47,63.81,Estimated,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21933152,0,288.58,331.91,Estimated,Municipal Services,14.199999999999998,27.05333333333333,26
2014,8,21691108,1000,182.19,247.38,Final,Sports Facility,14.199999999999998,27.05333333333333,26
2014,8,21692465,1225,179.73,253.72,Final,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21744101,633,106.07,146.08,Final,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21747749,1165,170.06,240.31,Final,School/Nursery,14.199999999999998,27.05333333333333,26
2014,8,21821752,710,113.87,158.05,Final,School/Nursery,14.199999999999998,27.05333333333333,26
