Year,Month,Supply Number,Total KWh,Bill Type,Label,Total Rainfall (mm),Mean Temperature (°C),Total Sunny Days
2014,4,21747152,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21790694,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21826495,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21691108,1000,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21692465,2975,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21744101,3430,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21747749,3102,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21821752,3316,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21574054,0,Estimated,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21917226,0,Estimated,Parks & Cultural Sites,48.500000000000014,14.196666666666664,12
2014,4,21574042,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21730886,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21826148,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21906515,0,Estimated,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21923295,677,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21586062,4000,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21699195,4060,Final,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21730449,821,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21574046,2286,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21581403,1869,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,21810010,0,Estimated,Sports Facility,48.500000000000014,14.196666666666664,12
2014,4,21798583,2640,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,92400110,2000,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,92404221,3040,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,20170967,1000,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,20213044,2640,Final,School/Nursery,48.500000000000014,14.196666666666664,12
2014,4,20172054,1924,Final,School/Nursery,48.500000000000014,14.196666666666664,12
